麻黄,发汗散寒，宣肺平喘，利水消肿。
五味子,收敛固涩，补肾宁心，益气生津。
诃子,敛肺止咳，涩肠止泻，降火利咽。
海螵蛸,收敛止血，收湿敛疮，涩精止带，制酸止痛。
桑螵蛸,补肾助阳，固精缩尿。
肉豆蔻,温中行气，涩肠止泻。
五倍子,敛肺降火，敛汗，止血，涩肠止泻。
石榴皮,涩肠止泻，止血，驱虫。
赤石脂,涩肠，止血，生肌敛疮。
禹余粮,收敛止血，涩肠止泻。
莲子,益肾涩精，补脾止泻，养心安神，止带。
芡实,益肾固精，补脾止泻，除湿止带。
山茱萸,补益肝肾，收敛固脱。
莲房,化瘀止血。
莲须,固精涩精。
覆盆子,益肾固精缩尿，养肝明目。
金樱子,固精缩尿，固崩止带，涩肠止泻。
岩白菜,收敛止泻，止血止咳，舒筋活络。
麻黄根,固表止汗。
糯稻根,除热止汗，益胃生津。
