辣蓼,消炎驱虫汤,治肠炎痢疾、口臭、便秘、滴虫性肠炎、跌打肿痛，毒蛇、蜈蚣、黄蜂咬伤
火麻仁,麻子仁丸,治大便干结、痔疮便秘、血虚津枯、产后多汗、腹中瘀血、寸白虫
郁李仁,五仁丸,治四肢浮肿、肠燥便秘、小便不利、产后燥热、水肿、风热气秘
车前草,完带汤,治暑湿泄泻、小便不利、肝热目肿、小儿胎毒、肝炎、风热、痰热咳嗽、斑疹伤寒、小儿惊风
萹蓄,八正散,治血淋、小便刺痛、泄泻、蛔虫、钩虫、蛲虫病
冬瓜皮,利水饮,治水肿胀满、肾炎、肥胖症、冻疮、跌扑损伤、羊水过多症
蝼蛄,内伤急救方,治小便不通、肾炎、水肿、瘰疠
麻油,水火烫伤膏,治初生儿二便不通、梅花癣、痈疽、发背、漏胎难产、老年斑、烧烫伤，抗衰老
望江南,,治习惯性便秘、顽固性头痛、蛇头疔、荨麻疹
甘遂,大陷胸汤,治宿食便秘、水肿胀满、痰饮积聚、小便不通、癫痫、麻木、结胸症
巴豆,走马汤,治寒滞食积、肝硬化腹水、二便不通、白喉、面瘫、晚期血吸虫病、牙痛、暴发急症
大戟,十枣汤,治水肿腹胀、二便不通、晚期血吸虫病、痈肿疮毒、瘰疠痰核、黄疸、胸膜炎、肝硬化腹水
芫花,接骨膏,治二便不通、痰饮喘咳、水肿、虫积腹痛、痈疽流注、疟疾、骨折吐血、疥疮、冻疮
牵牛子,舟车丸,治二便不通、冷气流注、痰饮喘咳、虫积腹痛、肠痈、痢疾、水肿水胀
商陆,疏凿饮子,治水肿、肾炎、消化道出血、梅毒下疳、二便不利
续随子,续随子丸,治水肿胀满、二便不利、妇女经闭、恶疮肿毒、肝硬化、涎积
泽漆,泽膝汤,治水肿胀满、痰水咳喘、瘰疠痰核、骨髓炎、食道癌
苍术,越鞠丸,治外感风寒湿、风寒湿痹、疟疾、痢疾、鼻息肉、夜盲症、毒蛇咬伤、胃炎肝炎、胆囊炎、肋间神经痛
厚朴,连朴饮,治脘腹胀痛、热结便秘、不思饮食、痰多喘咳、黄疸、虫积、梅核气、钩虫病
藿香,藿香正气散,治感冒风寒、脘腹胀满、疟疾、胎动不安、胃肠炎
